title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Black Jack: The Two Doctors of Darkness;Movie;1;2005;2005;;When a bomb goes off in a nearby building, the unlicensed surgeon Black Jack secures a release from jail in return for helping out at the scene. A few months later, the group that planted the bomb lure Black Jack to a mysterious island that used to be a military base. When he arrives, he is stunned to find that his patients are all infected with a new type of anthrax, but what he also discovers is that he is not the only doctor to have been called. Dr Kiriko - a renegade doctor known as Death Incarnate due to his willingness to kill his patients on request - is also there. With their differing views on medicine, Black Jack and Kiriko clash, but with both their lives at stake for knowing too much, the pair will have to work together if they want to get out of this alive.;['Tezuka Productions'];Drama,Shounen,Doctors,Island,Medical,Based on a Manga
Double Decker! Doug & Kirill Extra Story;Other;3;2019;2019;;;['Sunrise'];Action,Comedy,Breaking the Fourth Wall,Conspiracy,Detectives,Monsters,Parody,Original Work
Metropolis;Movie;1;2001;2001;;Metropolis is a grand high-tech city-state populated by humans and robots alike. It is in these streets that Detective Shunsaku Ban and his sidekick Kenichi search for the rebel scientist Dr. Laughton who unbeknownst to them, is developing a super android named Tima as a tool for the Duke of Metropolis. What starts out as a normal case turns into mayhem as the scientist is murdered, and the true plans of the Duke are finally revealed...;['MADHOUSE'];Sci Fi,Androids,Non-Human Protagonists,Robots,Based on a Manga
Mai Mai Miracle;Movie;1;2009;2009;;Ten years after the end of the Second World War, in a backwater rural town which used to be a major regional capital in Feudal Japan, Shinko, a girl with an active imagination who daydreams about the town as it appeared a millennium prior, befriends Kiiko, a shy girl from Tokyo whose father relocated to the town to become a doctor for a factory. The film follows their day to day lives as they take care of a goldfish in a makeshift pond, fantasize about a cloistered and lonely young princess who moved to the town in the Feudal Era, and help a boy cope with a family tragedy.;['MADHOUSE'];Drama,Slice of Life,Countryside,Family Friendly,Historical,Based on a Novel
Wasurenagumo;Movie;1;2012;2012;;At the Kokumondo book store, Suzuri will do whatever it takes to find the most rare and historic artifacts for his customers – in fact, the man has just procured a tale of a terrifying spider monster who ate the men of a village one by one. But when Suzuri's assistant Mizuki opened the book, little did the two know that the monster herself would be unsealed from the pages, nor that she'd be an adorable little girl!;['Production I.G'];Comedy,Horror,Anime Tamago,Bookstore,Supernatural,Original Work
Paulette no Isu;Web;1;2014;2014;;;['Studio Colorido'];Comedy,Coming of Age,No Dialogue,noitaminA,Shorts,Supernatural,Original Work
Speed Grapher;TV;24;2005;2005;Spring;"Ten years have passed since the demise of the bubble economy, a time that polarized the world into two groups of people: the rich and the poor. In the present day, Saiga Tatsumi (a former war photographer) has been hired to investigate a secret club for the rich named the Roppongi Club, but he soon discovers secrets much darker than he’d ever imagined. With the help of a exploited goddess named Kagura, Saiga now possesses the power to kill by simply taking a photograph; but can he stay alive long enough to save her from her captors?";['GONZO'];Action,Noir,Psychological,Supernatural,Original Work
Tsugumomo 2;TV;11;2020;;Spring;Thanks to his unique condition that causes him to attract supernatural trouble, Kagami Kazuya acts as an exorcist with the help of his partner, the fully incarnated spirit of an obi sash, Kiriha. Realizing that Kazuya's status as a literal trouble magnet could be more than the two of them can handle, the monster hunting duo decides to start a consultation group with the help of their classmates, so that they can subtly keep an eye out for any trouble at their school.;['Zero-G'];Action,Comedy,Ecchi,Harem,Seinen,Based on a Manga
Whistle!;TV;39;2002;2003;Spring;Let's play some real football! Shou Kazamatsuri is a middle school student who loves soccer but is not quite adept at it. Shou went for a time to the prestigious Musashi no Mori soccer school, but was disillusioned due to being a bench warmer. Determined to prove his worth, Shou transfers to a school with a little less glitz and a lot more kibitz. But becoming a player takes more than just desire. Join Shou as he works towards his dream of being a star soccer player along with a group of ragtag players determined to be the greatest junior high squad ever assembled!;['Studio Comet'];Action,Shounen,Sports,Soccer,Based on a Manga
Pokemon Movie 1: The First Movie;Movie;1;1998;1998;;The Team Rocket scientists attempted to make the most powerful Pokemon in existence and they succeeded. A clone made from Mew’s DNA, Mewtwo was enraged at his existence as nothing but a tool for fighting. In his anger, he destroyed the Team Rocket base and established a base in the middle of the ocean, inviting strong trainers to come and face his army of super clones. When Ash and company are invited to the island, Mewtwo’s intentions become clear and it’s up to them, the other trainers, and all the original Pokemon, including Mew, to stop him. The battle of Pokemon vs. clone begins!;['OLM'];Fantasy,Elemental Powers,Family Friendly,Island,Monsters,Based on a Video Game
They Are My Noble Masters;TV;13;2008;2008;Winter;Ren and Mihato Uesugi have moved to Chiharu in order to find work and a place to live, but it has proven difficult to find employment. Through a series of events the duo finds itself in the prestigious Kuonji house - and subsequently accepts live-in maid positions! Famous Shinra, inventive Miyu and youngest Yume are tough customers to wait on, but with the help of the ex-militant head-butler Colonel, head maid Benisu and other wait staff, Ren and Mihato might just learn what it takes to be the best maid or butler you can be. Their jobs are not easy, though, with everything from inappropriate sibling love to household games to handle!;['A.C.G.T.'];Comedy,Ecchi,GL,Harem,Shoujo-ai,Maids,Mansion,Panty Shots,Parody,Based on an Eroge,Based on a Visual Novel
Ah! My Goddess;OVA;5;1993;1994;;Keiichi Morisato is just your average college student until one day, fate interjects as he makes a call for take-out food. Unknown to him, he reaches the Goddess Help Line, and contacts a goddess named Belldandy, who grants him a wish. Thinking it to be a joke, Keiichi wishes for her to be his girlfriend 'forever'.;['AIC'];Comedy,Fantasy,Romance,Seinen,Contemporary Fantasy,God-Human Relationship,Gods,Interspecies Relationship,Magic,Non-Human Protagonists,Sudden Girlfriend Appearance,Based on a Manga
King of Thorn;Movie;1;2009;2009;;Medusa is a mysterious illness which causes the body to petrify shortly after infection, found throughout the world and steadily increasing the death toll. In order to combat the disease, 160 lottery winners were chosen to be frozen until a cure could be found, one of whom is Kasumi - a twin whose sibling was not one of the chosen. Along with a group of others Kasumi awakens from her cryogenic chamber, but not to the same world she left it: prehistoric monsters roam the now-abandoned castle and eat the survivors, while endless giant thorns rise all around them. Against all odds, Kasumi and the others must now try to survive the horror of their situation and discover the truth behind what's happening, all the while waiting for the Medusa to finally claim their lives...;['Sunrise'];Horror,Sci Fi,Seinen,Pandemic,Survival,Based on a Manga
Hugtto! Pretty Cure x Futari wa Pretty Cure Movie: All Stars Memories;Movie;1;2018;2018;;;['Toei Animation'];Action,Fantasy,Magical Girl,Crossover,Henshin Heroes,Magic
City Hunter: Bay City Wars;Movie;1;1990;1990;;A large new hotel complex is opening and the City Hunter team is invited. Unfortunately for Ryo, he forgot the address so he's doomed to walk the streets starving, while Kaori and Miki get to hog the free food. However, the complex is controlled by a state-of-the-art supercomputer, which attracts a group of terrorists who take the whole building hostage. It's up to Ryo and Umibouzu to shoot their way in to get their share of the food... and stop the terrorists before they can complete their sinister plan!;['Sunrise'];Action,Comedy,Shounen,Guns,Based on a Manga
Love Lab;TV;13;2013;2013;Summer;Fujisaki Girls Academy is attended by young ladies from old and honorable families. Maki Natsuo, admired by other students and with a cool and calm manner, is the academy's student council president. However, unbeknownst to the other students, her heart is overflowing with curiosity and passion for romantic relationships. One day, the tomboy Kurahashi Riko walks in on Natsuno while she is practicing kissing with a body pillow. Having witnessed Natsuo's secret, Riko is recruited to assist her in her Love Lab, Natsuo's study of romance.;['Doga Kobo'];Comedy,Romance,Seinen,All-Girls School,Animeism,School Life,Based on a 4-Koma Manga,Based on a Manga
You're Under Arrest: Full Throttle;TV;23;2007;2008;Fall;"After enduring special training, the lovely policewomen Miyuki and Natsumi have returned to Bokuto Station, where nary a normal day passes; the work is never dull and our dynamic duo have to overcome a variety of difficulties, from catching speeders to simple love problems! Their newest case involves a young boy who has come to Japan to find his grandfather and become a samurai – not an easy task, when there are hired gunmen after him! Although it’s not always easy being an officer in the Traffic Department, Miyuki, Natsumi, and the rest of the gang work hard to ensure Bokuto Precinct is in safe hands!";['Studio Deen'];Action,Comedy,Drama,Seinen,Coworkers,Police,Work Life,Based on a Manga
Cyber Formula Graffiti;OVA;1;1992;1992;;;['Sunrise'];Sci Fi,Sports,Racing,Original Work
